time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow
0.0,2.701644211254237,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0
30.0,2.9999999999999996,0.005799524842064887,0.0018174965146621474,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.013479687201278533
60.0,2.9999999999999996,0.011680143797395983,0.0014081930600808336,0.000445335937320624,0.00011655181643781135,0.0,0.0,0.013479687201278533
90.0,2.9999999999999996,0.017285396202910985,0.001827996387287243,0.0004027529006112673,0.0001078678839276364,0.0,0.0,0.013479687201278533
120.0,2.9999999999999996,0.0217677251289254,0.0026987597509767315,0.0004448441920855345,0.00011874640486381339,0.0,0.0,0.013479687201278533
150.0,2.9999999999999996,0.025921427860673092,0.003784596808863145,0.0005167577113463978,0.00013262627007869414,0.0,0.0,0.013479687201278533
180.0,2.9999999999999996,0.02971873728492897,0.005035638881575193,0.0006394031907579717,0.00014746197896287755,0.0,0.0,0.013479687201278533
210.0,2.9999999999999996,0.03318093658492379,0.006399832515782183,0.0007997419291434086,0.00016423369243542254,0.0,0.0,0.013479687201278533
240.0,2.9999999999999996,0.036398098460324435,0.007931306159831389,0.0010164762993387143,0.00018335728586531274,7.3068641199484375e-06,0.0,0.013479687201278533
270.0,2.9999999999999996,0.03937606687793313,0.009594359575872707,0.0012695157276525549,0.00018554831486482899,1.693923120500964e-06,0.0,0.013479687201278533
300.0,2.9999999999999996,0.04252032257986672,0.01135519629329363,0.0015976170102355838,0.00020934471546933084,1.0103640869575572e-06,0.0,0.016637726909154125
330.0,2.9999999999999996,0.045808216162330585,0.0132669399057608,0.0020002760952421285,0.00024119795771176486,1.151839624842193e-06,0.0,0.016637726909154125
360.0,2.9999999999999996,0.04884063243068188,0.015336827847325029,0.0024841583307752984,0.00028377233373969946,1.3754501251141938e-06,0.0,0.016637726909154125
390.0,2.9999999999999996,0.05163469258237497,0.017510375370079625,0.0030527886243052168,0.0003460706997577347,1.7173561815722007e-06,0.0,0.016637726909154125
420.0,2.9999999999999996,0.0542021318037093,0.019764679118312065,0.0036958437089137704,0.00042049524072388934,2.1277780179941532e-06,0.0,0.016637726909154125
450.0,2.9999999999999996,0.05656189068123743,0.022088084044041147,0.00442383277921501,0.0005120882305229766,2.6544163673553677e-06,0.0,0.016637726909154125
480.0,2.9999999999999996,0.05872224673851415,0.024460292668589474,0.005241784984962033,0.0006200643180872899,3.305785701198599e-06,0.0,0.016637726909154125
510.0,2.9999999999999996,0.06069371015722698,0.026853093824470417,0.006142526826130001,0.000746796763486517,4.114120110942504e-06,0.0,0.016637726909154125
540.0,2.9999999999999996,0.062491327752310394,0.029267965918640358,0.007140789592437833,0.0008972650050057046,5.236619945291977e-06,0.0,0.016637726909154125
570.0,2.9999999999999996,0.06412451165508956,0.0316902304315487,0.008234785230349094,0.0010759029816244433,6.852452994347648e-06,0.0,0.016637726909154125
600.0,2.9999999999999996,0.0656021267080946,0.03410558428301398,0.009422608937001304,0.0012861786396635069,9.166775380517495e-06,0.0,0.016637726909154125
630.0,2.9999999999999996,0.06693531216504048,0.036502503389311027,0.010700313703951901,0.001533294195901736,1.2569301915274881e-05,0.0,0.016637726909154125
660.0,2.9999999999999996,0.06813441793649215,0.03887111708664998,0.012067697105782753,0.00182888650646472,1.7778989790934697e-05,0.0,0.016637726909154125
690.0,2.9999999999999996,0.0687488923816474,0.041202166903777135,0.013520743435310326,0.002186672308891201,2.6046097471951874e-05,0.0,0.012291329106558207
720.0,2.9999999999999996,0.06881955044534277,0.043447703134445397,0.015052216509516948,0.0026216393435846484,3.7862387191521904e-05,0.0,0.012291329106558207
750.0,2.9999999999999996,0.06884062682887249,0.04556763840200389,0.016649668049962485,0.0030399241276463265,4.897390801504683e-05,0.0,0.012291329106558207
780.0,2.9999999999999996,0.06882139352501061,0.047563028803443194,0.018296039762960382,0.0035458646121967067,6.273940659389921e-05,0.0,0.012291329106558207
810.0,2.9999999999999996,0.06876996748455787,0.04943471819231735,0.019976987649703012,0.004119990711323698,8.003360694735479e-05,0.0,0.012291329106558207
840.0,2.9999999999999996,0.06869194423084729,0.05118854916799698,0.021684789800231575,0.004770501109296624,0.00010180161554059909,0.0,0.012291329106558207
870.0,2.9999999999999996,0.06859038762162216,0.0528268446481932,0.023410881083269535,0.005509539779984626,0.00012922025132138936,0.0,0.012291329106558207
900.0,2.9999999999999996,0.06846839030229862,0.054353012815608455,0.02514121192114613,0.006344644240360708,0.00016338240864200148,0.0,0.012291329106558207
930.0,2.9999999999999996,0.06832929821696244,0.05577101672294605,0.026865543103164663,0.007287780553420819,0.00020814984127806384,0.0,0.012291329106558207
960.0,2.9999999999999996,0.06818032774739444,0.05708157845606496,0.028585351310447937,0.008401994259307821,0.0002646604223922302,0.0,0.012291329106558207
990.0,2.9999999999999996,0.06697062137582888,0.05828489378892501,0.0302869929171612,0.00967572544340262,0.00033409886474844956,0.0,0.002650165213490802
1020.0,2.9999999999999996,0.0647478763962685,0.05930458725518511,0.03196168243532311,0.011132945768577669,0.0004218556385859945,0.0,0.002650165213490802
1050.0,2.9999999999999996,0.06263346590203446,0.060065714688551895,0.033603772184097935,0.012859341891850083,0.0005306656368192621,0.0,0.002650165213490802
1080.0,2.9999999999999996,0.06064770750297005,0.06059553622176899,0.035191232037844807,0.01481277967417157,0.0006604908699689422,0.0,0.002650165213490802
