time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time,lateral_inflow
0.0,2.9016219414237283,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,200.0,61.0,0.06666666666666667
1.0,2.9999999999999996,0.04640952280481289,0.02167061924150265,0.017026355232287082,0.016499490063333004,0.0007367337526468629,0.00024731920008352177,0.18491465624216377,0.0,200.0,121.0,0.06666666666666667
2.0,2.9999999999999996,0.10375218327265857,0.04436863625915517,0.03355679211698966,0.0053060951617226815,9.599342523174007e-05,0.0003719471197783243,0.18491465624216377,0.0,200.0,181.0,0.06666666666666667
3.0,2.9999999999999996,0.15131532834686334,0.0747255443527961,0.05021559722830849,0.010784429491022,0.000479144674147207,0.00045637344029647424,0.18491465624216377,0.0,200.0,241.0,0.06666666666666667
4.0,2.9999999999999996,0.188273865241612,0.10719832506023594,0.06615222965682904,0.0199409517624042,0.0012562238735724027,0.000707328407132176,0.18491465624216377,0.0,200.0,301.0,0.06666666666666667
5.0,2.9999999999999996,0.2156315221602867,0.14109470877207325,0.08517379089401737,0.030719943379363582,0.0029362970272765947,0.0012969006871124725,0.18491465624216377,0.0,200.0,361.0,0.06666666666666667
6.0,2.9999999999999996,0.23351839428724572,0.17397117845138163,0.10710780511637263,0.04299418383195676,0.005970093716832703,0.002552546744871396,0.18491465624216377,0.0,200.0,421.0,0.06666666666666667
7.0,2.9999999999999996,0.24508746875802562,0.20369374860208864,0.1318127410883902,0.058626900233135694,0.011316310067761315,0.005003930801095527,0.18491465624216377,0.0,200.0,481.0,0.06666666666666667
8.0,2.9999999999999996,0.2525771704721358,0.2301268586913131,0.15800589937877527,0.07814166226531474,0.019986390270974444,0.009251302845929649,0.18491465624216377,0.0,200.0,541.0,0.06666666666666667
9.0,2.9999999999999996,0.25669656845203326,0.25095411001224455,0.18423289084210315,0.10061626225859963,0.03255552099218852,0.016508815624501967,0.18491465624216377,0.0,200.0,601.0,0.06666666666666667
10.0,2.9999999999999996,0.2587009967573118,0.26685966585105575,0.2092695967677515,0.12548948397909118,0.04940066208216859,0.028030617179452048,0.18491465624216377,0.0,200.0,661.0,0.06666666666666667
11.0,2.9999999999999996,0.25954197884428787,0.2782301121687173,0.23192488989907023,0.1517093455238061,0.070228894946189,0.04511042678357252,0.18491465624216377,0.0,200.0,721.0,0.06666666666666667
