time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time
3825.0,5.24,0.10385001645625183,0.362832949594655,0.2495650950933005,0.9560754833278163,0.0,2.018503936781234,0.0,0.0,29.9432,9446.0
3826.0,5.24,0.10167269344469572,0.3580854875859154,0.24948080596973352,0.9632726125109017,0.2922694753946629,2.0274862824784936,0.0,0.0,29.9432,9449.0
3827.0,5.24,0.09953518704255367,0.35329240935758194,0.24950413852855807,0.9743999815004011,0.5898358429126589,2.0607587952708193,0.0,0.0,29.9432,9453.0
3828.0,5.24,0.09739132256919467,0.3483788913405235,0.2496552005440328,0.9887050439504826,0.7711366372054427,2.1144364129235926,0.0,0.0,29.9432,9456.0
3829.0,5.24,0.09518364005973004,0.3432495389912722,0.24996761048621255,1.0038745339818516,0.6895710763270416,2.175748390546238,0.0,0.0,29.9432,9460.0
3830.0,5.24,0.09395528401128511,0.3403513333229645,0.25023827416070893,1.0109000592759283,0.5901713502797713,2.2062091056360167,0.0,0.0,29.9432,9462.0
3831.0,5.24,0.09159711651250117,0.33478679387211585,0.2508989152887932,1.0199706991336943,0.17686515617332316,2.2428855165287525,0.0,0.0,29.9432,9466.0
3832.0,5.24,0.08957539744715823,0.3299064646806972,0.2517041824704649,1.0197504455314197,0.0,2.2418614086439157,0.0,0.0,29.9432,9470.0
3833.0,5.24,0.08765086801835507,0.3250616061909135,0.2527190552704574,1.013019800102633,0.0,2.212548476079531,0.0,0.0,29.9432,9473.0
3834.0,5.24,0.08603128536341899,0.32088953268659537,0.25379018523690333,1.0039759026911266,0.0,2.1730856383984096,0.0,0.0,29.9432,9477.0
3835.0,5.24,0.08449373366699556,0.31688069078194214,0.25500499108092367,0.9937158260651444,0.0,2.1304069703571322,0.0,0.0,29.9432,9480.0
3836.0,5.24,0.08305926683806025,0.3131053625030302,0.256331228140218,0.9840626685291118,0.0,2.0929137098511124,0.0,0.0,29.9432,9483.0
3837.0,5.24,0.08168446759339627,0.30946917971236637,0.2577931160692414,0.9758941544176178,0.0,2.0657250739925814,0.0,0.0,29.9432,9486.0
3838.0,5.24,0.08033198370042269,0.30587406101048514,0.2594311663895172,0.9697338598583154,0.0,2.0519263631599665,0.0,0.0,29.9432,9489.0
3839.0,5.24,0.07896153821452608,0.30220293808485565,0.26131603461752123,0.9658785895928425,0.13412720792051294,2.0533880729282084,0.0,0.0,29.9432,9492.0
3840.0,5.24,0.07753387837364312,0.2983029530112116,0.2635681320557253,0.9644605826757556,0.3301919651876486,2.071061112126025,0.0,0.0,29.9432,9495.0
3841.0,5.24,0.07592734280966111,0.29379468273741527,0.26650963211450357,0.9648682414867283,0.377257693103304,2.1025778095481624,0.0,0.0,29.9432,9499.0
3842.0,5.24,0.0742541909204402,0.2889882281709002,0.27006848961308355,0.9648995290914105,0.2618708766198873,2.133100988390769,0.0,0.0,29.9432,9503.0
3843.0,5.24,0.07261053535661194,0.2842053079433795,0.2740729205967212,0.9626168886093964,0.08031760075069537,2.1494978136514233,0.0,0.0,29.9432,9508.0
3844.0,5.24,0.07101273979414648,0.2795018525139218,0.27848813525224914,0.9569980702046876,0.0,2.146175353020783,0.0,0.0,29.9432,9512.0
3845.0,5.24,0.06963338156787359,0.27540476250772067,0.28273442481535205,0.949764238175804,0.0,2.125433380667606,0.0,0.0,29.9432,9516.0
3846.0,5.24,0.06851407119877805,0.27205498587844096,0.2865110141772599,0.9431301644853639,0.0,2.0995263341649766,0.0,0.0,29.9432,9519.0
