time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow
0.0,2.701644211254237,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0
30.0,2.9999999999999996,0.07595174078014358,0.01141375512583635,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.18932206773101617,0.0
60.0,2.9999999999999996,0.08027644065054387,0.016072107718118615,0.0010746612756467244,0.0002272513152235007,9.085155497511079e-06,0.0,0.18932206773101617,9.085155497511079e-06
90.0,2.9999999999999996,0.11016950156441878,0.023318710824007664,0.001992385783639193,8.299779537802864e-05,0.0,0.0,0.18932206773101617,0.0
120.0,2.9999999999999996,0.1370461119332197,0.0332251131789897,0.0033156801247725383,0.00017266848228860283,6.8755276456380046e-06,0.0,0.18932206773101617,6.8755276456380046e-06
150.0,2.9999999999999996,0.1612766487343564,0.045129095131204215,0.005382271292200148,0.0002445391496925339,3.0520088193611804e-06,0.0,0.18932206773101617,3.0520088193611804e-06
180.0,2.9999999999999996,0.18184419372907581,0.05875513509235829,0.0083760550071024,0.00043999138219669474,2.803140461369588e-06,0.0,0.18932206773101617,2.803140461369588e-06
210.0,2.9999999999999996,0.19946744683409132,0.0738987053434917,0.012521217727992364,0.0007811473883988122,4.788070889649207e-06,0.0,0.18932206773101617,4.788070889649207e-06
240.0,2.9999999999999996,0.21432922101600937,0.09009676702216175,0.01795970793855712,0.001358000755849131,9.420361545426377e-06,0.0,0.18932206773101617,9.420361545426377e-06
270.0,2.9999999999999996,0.226703317763055,0.10687491389438494,0.024724231258849552,0.0022513630641534323,1.8355918456454106e-05,0.0,0.18932206773101617,1.8355918456454106e-05
300.0,2.9999999999999996,0.23688432743697804,0.12382933239324025,0.032798292324823265,0.0035682423745184814,4.4486667481772396e-05,0.0,0.18932206773101617,4.4486667481772396e-05
330.0,2.9999999999999996,0.24514820162848275,0.14058175365794517,0.042030571509197485,0.005601084840783637,0.00013581720818999854,0.0,0.18932206773101617,0.00013581720818999854
360.0,2.9999999999999996,0.2517500665678557,0.1568383176611207,0.052288163664661914,0.008305273842341582,0.00030335190893735804,0.0,0.18932206773101617,0.00030335190893735804
390.0,2.9999999999999996,0.2569212124971363,0.17233830679692458,0.06349025116086476,0.012594549278993533,0.0005898757042913838,0.0,0.18932206773101617,0.0005898757042913838
420.0,2.9999999999999996,0.2608683498015743,0.18688551027587613,0.07548457121904846,0.02009023612084045,0.0011842242710117753,0.0,0.18932206773101617,0.0011842242710117753
450.0,2.9999999999999996,0.2637790965482854,0.20032759358912453,0.08802642313119326,0.027257990721023938,0.0021216058338124795,0.0,0.18932206773101617,0.0021216058338124795
480.0,2.9999999999999996,0.25281548694142897,0.21256512122370788,0.10095160659072237,0.034495147979556356,0.003464827409709192,0.0,0.016318454016958864,0.003464827409709192
510.0,2.9999999999999996,0.2308904558568916,0.22164438131501885,0.11404492699727505,0.04304390844207123,0.005436522772026473,0.0,0.016318454016958864,0.005436522772026473
540.0,2.9999999999999996,0.21170711326895567,0.22432210218656506,0.1265807961679799,0.052227585433736616,0.00809745131810289,0.0,0.016318454016958864,0.00809745131810289
570.0,2.9999999999999996,0.19427883517281586,0.22507540024923328,0.1383504894622761,0.06276193259447227,0.011634072149818256,0.0,0.016318454016958864,0.011634072149818256
600.0,2.9999999999999996,0.17896446206148953,0.22303495339568552,0.14882551889339812,0.07379071602432578,0.016076173021507663,0.0,0.016318454016958864,0.016076173021507663
630.0,2.9999999999999996,0.16555513737340444,0.21895809992541473,0.15771432751964348,0.0850830972616132,0.021373871770428543,0.0,0.016318454016958864,0.021373871770428543
660.0,2.9999999999999996,0.1539888288680408,0.21341481057285283,0.16474460112909345,0.09634062799199436,0.027412170925161523,0.0,0.016318454016958864,0.027412170925161523
690.0,2.9999999999999996,0.14406442454295282,0.20686783732634922,0.16996079942242412,0.10729488954633197,0.034004894044848764,0.0,0.016318454016958864,0.034004894044848764
720.0,2.9999999999999996,0.13553440076388368,0.19968863815491072,0.17354573179453678,0.11761009771842189,0.040876959364391924,0.0,0.016318454016958864,0.040876959364391924
750.0,2.9999999999999996,0.12817675903194814,0.1921713733721171,0.17571635065043703,0.12707163518115497,0.0477431752741477,0.0,0.016318454016958864,0.0477431752741477
780.0,2.9999999999999996,0.12181185741993433,0.18454020074350205,0.17667695565891903,0.13552868840898102,0.054332559706008185,0.0,0.016318454016958864,0.054332559706008185
810.0,2.9999999999999996,0.11628381015979708,0.17696291703624353,0.17661889500487413,0.14286811145545666,0.06041614799489565,0.0,0.016318454016958864,0.06041614799489565
840.0,2.9999999999999996,0.11146548409656122,0.16956583896760968,0.17571552249283195,0.14907119172820865,0.06582512837122091,0.0,0.016318454016958864,0.06582512837122091
870.0,2.9999999999999996,0.107256067564439,0.16243885574198125,0.17411791746245073,0.15407773134518954,0.07042940885443501,0.0,0.016318454016958864,0.07042940885443501
900.0,2.9999999999999996,0.10356414104389373,0.15563629518331384,0.17196237607008555,0.15800186467640692,0.07417541222315623,0.0,0.016318454016958864,0.07417541222315623
930.0,2.9999999999999996,0.10031926085133346,0.14919430188494898,0.16936427746864827,0.1609049462717407,0.07705241025424618,0.0,0.016318454016958864,0.07705241025424618
960.0,2.9999999999999996,0.09746040831451903,0.14313425442592953,0.16642564565856324,0.1628871749578819,0.07909701108778243,0.0,0.016318454016958864,0.07909701108778243
