time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area
0.0,2.9016219414237283,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,200.0
1.0,2.9999999999999996,0.008080288427941713,0.003298402832797922,0.001384655579460329,3.0480000000000003e-05,0.0,0.0,0.01455382874914375,0.0,200.0
2.0,2.9999999999999996,0.019026159538512003,0.0034159900633791013,0.001000615571632531,0.0019358546527518138,5.9499313807508354e-05,0.0,0.01455382874914375,5.9499313807508354e-05,200.0
3.0,2.9999999999999996,0.027594689141850162,0.0049853339015049165,0.0012319498600092261,0.0007109063106754983,6.409959099832249e-06,0.0,0.01455382874914375,6.409959099832249e-06,200.0
4.0,2.9999999999999996,0.035358197421753626,0.007574471652050161,0.0014814636047025148,0.0007329627491938759,4.999866326113845e-06,0.0,0.01455382874914375,4.999866326113845e-06,200.0
5.0,2.9999999999999996,0.041699527560396486,0.010865389571077666,0.00195685730459854,0.0007443955301095317,4.786174226001265e-06,0.0,0.01455382874914375,4.786174226001265e-06,200.0
6.0,2.9999999999999996,0.04714994765228965,0.014644110782888605,0.0026975883401737493,0.000772444190276312,4.910825124007321e-06,0.0,0.01455382874914375,4.910825124007321e-06,200.0
7.0,2.9999999999999996,0.05184361032155224,0.018818832742143247,0.0037615512120321684,0.0008238424329910408,5.248676474261745e-06,0.0,0.01455382874914375,5.248676474261745e-06,200.0
8.0,2.9999999999999996,0.055804676519242355,0.023145907459033086,0.005127439931528477,0.0009294545092884114,5.959648088100417e-06,0.0,0.01455382874914375,5.959648088100417e-06,200.0
9.0,2.9999999999999996,0.05912420864086606,0.027561326749136365,0.00682357520548936,0.0011141453356996324,7.4219835120684536e-06,0.0,0.01455382874914375,7.4219835120684536e-06,200.0
10.0,2.9999999999999996,0.06187833903203011,0.03196814673013935,0.008849314857300066,0.0014005422100555622,1.0245197775089137e-05,0.0,0.01455382874914375,1.0245197775089137e-05,200.0
11.0,2.9999999999999996,0.06413720027460151,0.03630800515775792,0.011197805939638105,0.0018160623909803488,1.5732032016152924e-05,0.0,0.01455382874914375,1.5732032016152924e-05,200.0
12.0,2.9999999999999996,0.06596207510275293,0.040519217858059,0.013852368824508517,0.002405372667753856,2.724290415367249e-05,0.0,0.01455382874914375,2.724290415367249e-05,200.0
13.0,2.9999999999999996,0.06741467971854206,0.04454217100495955,0.01677048464160905,0.0032442428791695016,5.341021371262825e-05,0.0,0.01455382874914375,5.341021371262825e-05,200.0
14.0,2.9999999999999996,0.06853869970896317,0.04832903994639198,0.01988124553507604,0.004233978081903128,8.881150546054464e-05,0.0,0.01455382874914375,8.881150546054464e-05,200.0
15.0,2.9999999999999996,0.06938919415882225,0.05184137399739995,0.02312117716998129,0.005442066003046335,0.00013782953560984677,0.0,0.01455382874914375,0.00013782953560984677,200.0
16.0,2.9999999999999996,0.09867439311239776,0.05613294329984361,0.026450038779747487,0.007005840963915668,0.00021418142522713218,0.0,0.17987844808848727,0.00021418142522713218,200.0
17.0,2.9999999999999996,0.145640859269769,0.06838696878488139,0.030167737243425863,0.009078322283655443,0.00033134206624337844,0.0,0.17987844808848727,0.00033134206624337844,200.0
18.0,2.9999999999999996,0.18257870505549234,0.0869208680370415,0.03579686945266578,0.01191801816676193,0.0005215432345668465,0.0,0.17987844808848727,0.0005215432345668465,200.0
19.0,2.9999999999999996,0.21080313691392505,0.11293447176647076,0.044820297340586485,0.016345297389362145,0.0008564197951414136,0.0,0.17987844808848727,0.0008564197951414136,200.0
20.0,2.9999999999999996,0.23012626750680643,0.13992094379980108,0.05799511167296841,0.02262426374588743,0.0014909612473982697,0.0,0.17987844808848727,0.0014909612473982697,200.0
21.0,2.9999999999999996,0.2430591123953053,0.16662125467293326,0.07520597490579954,0.029434101170675228,0.0026215386253741237,0.0,0.17987844808848727,0.0026215386253741237,200.0
22.0,2.9999999999999996,0.2518142797684714,0.1920867955471906,0.09537887998023852,0.03921785099884779,0.004846330468517305,0.0,0.17987844808848727,0.004846330468517305,200.0
23.0,2.9999999999999996,0.25653327441311985,0.21351698283766973,0.11727380081559498,0.05199323483515751,0.008795484175557537,0.0,0.17987844808848727,0.008795484175557537,200.0
24.0,2.9999999999999996,0.25872273308856847,0.230858392009818,0.13971209988330904,0.06841766633899028,0.015299480320918588,0.0,0.17987844808848727,0.015299480320918588,200.0
25.0,2.9999999999999996,0.2592736483605177,0.24403319183369165,0.16143162862243715,0.08769656119873645,0.024799850623154297,0.0,0.17987844808848727,0.024799850623154297,200.0
26.0,2.9999999999999996,0.24118921801557403,0.2507816783495596,0.1814342419740891,0.10879041786645394,0.03740697573126909,0.0,0.046619530955201494,0.03740697573126909,200.0
27.0,2.9999999999999996,0.21023185797875402,0.2481341776665292,0.1977412223488098,0.13020313763494107,0.05253159447016427,0.0,0.046619530955201494,0.05253159447016427,200.0
28.0,2.9999999999999996,0.18624928046823575,0.2381076639128082,0.20842186111843497,0.15094474273835862,0.06917822370666173,0.001211607642569194,0.046619530955201494,0.060000000000000005,200.0
29.0,2.9999999999999996,0.16753726607029407,0.22322163305130352,0.21372024344029747,0.16949545570862226,0.08571324663823096,0.005859144621020251,0.046619530955201494,0.060000000000000005,200.0
30.0,2.9999999999999996,0.15421126356638673,0.2081192854824797,0.2142657793635293,0.18500879806988973,0.1006007818530566,0.015360852855189375,0.046619530955201494,0.060000000000000005,200.0
31.0,2.9999999999999996,0.14509005678954798,0.19304170820294125,0.21091767154808516,0.19608161252688036,0.11197754558593656,0.028963832207300366,0.046619530955201494,0.060000000000000005,200.0
32.0,2.9999999999999996,0.13883301790676356,0.17926020881798344,0.2049113490944989,0.20258322413061852,0.1190236219260342,0.04549072193830488,0.046619530955201494,0.060000000000000005,200.0
33.0,2.9999999999999996,0.13449042790561905,0.1673573132603931,0.1973486099361287,0.20486048383814356,0.12174058142728629,0.06361560222299875,0.046619530955201494,0.060000000000000005,200.0
34.0,2.9999999999999996,0.1314404209930573,0.15760448384643272,0.18917640568454785,0.2035650671210147,0.12061853112547635,0.08208433134723717,0.046619530955201494,0.060000000000000005,200.0
35.0,2.9999999999999996,0.1292808077753685,0.14993015612576352,0.1810774180376878,0.1995352661211974,0.11651867672292669,0.099840898839813,0.046619530955201494,0.060000000000000005,200.0
36.0,2.9999999999999996,0.12773745624223287,0.14397220766005403,0.17345340260282735,0.1937237087355756,0.11054973439226116,0.11612012065565776,0.046619530955201494,0.060000000000000005,200.0
37.0,2.9999999999999996,0.12662956151167468,0.13935568993786265,0.16650123466811179,0.18705465439708022,0.1037326036702167,0.13048742103333302,0.046619530955201494,0.060000000000000005,200.0
38.0,2.9999999999999996,0.13909199950616183,0.13578022284333624,0.16029727709349065,0.18018123930461075,0.09678831666135669,0.14261878502533923,0.13061624529181792,0.060000000000000005,200.0
