time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time
1385.0,5.24,0.5299035434066448,0.27683446927228816,0.2919289840840501,0.41933642804658955,0.0,2.0426785923539814,1.0,1.0,29.9432,3588.0
1386.0,5.24,0.5308529844598548,0.2791744821306125,0.2911456629590741,0.41651760956139167,0.0,1.8455758965012854,1.0,1.0,29.9432,3589.0
1387.0,5.24,0.5317967284903845,0.28163124402261214,0.29037560024729087,0.4136876444050732,0.0,1.6796866806993411,1.0,1.0,29.9432,3591.0
1388.0,5.24,0.5327312385917361,0.28420525084040893,0.2896188840612022,0.4108542020074383,0.4530160110766747,1.5847752467282172,1.0,1.0,29.9432,3593.0
1389.0,5.24,0.5336520222266408,0.2868931037755352,0.28887641527263236,0.4080300745827939,1.469589932342148,1.582358297425739,1.0,1.0,29.9432,3595.0
1390.0,5.24,0.5345562554621333,0.2896971610223907,0.28814790088968756,0.4052316262316339,2.150913674480289,1.654742429970326,1.0,1.0,29.9432,3597.0
1391.0,5.24,0.5354400681833178,0.2926131579103675,0.28743370487782355,0.4024707738269879,2.4102441080405885,1.7615856750232426,1.0,1.0,29.9432,3599.0
1392.0,5.24,0.5363005368879927,0.2956393054362839,0.28673323008994916,0.39975620899995384,2.3824741375663296,1.8733368367330965,1.0,1.0,29.9432,3600.0
1393.0,5.24,0.5371350196235797,0.2987737576750149,0.2860461207935397,0.39708899487945615,2.26492140390387,1.9775408174065967,1.0,1.0,29.9432,3602.0
1394.0,5.24,0.5379408170122197,0.302015839745528,0.285372582503814,0.3944823057376876,1.9743958866301454,2.0640175754148515,1.0,1.0,29.9432,3604.0
1395.0,5.24,0.5387149275575029,0.3053610921381091,0.2847131693921775,0.3919408549592096,1.5582884976122844,2.1225907422355315,1.0,1.0,29.9432,3606.0
1396.0,5.24,0.5394550388544541,0.30880683745061005,0.28406807193237654,0.3894674636379633,1.0530989151253634,2.146109707498832,1.0,1.0,29.9432,3608.0
