time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area
0.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
1.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
2.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
3.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
4.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
5.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
6.0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
7.0,5.24,1.5000000000000002,1.6,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
8.0,5.24,1.5000000000000002,1.5886188301401538,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
9.0,5.24,1.4901769787411807,1.5108702065559956,0.00994610764450421,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
10.0,5.24,1.4363459002538281,1.4840228219305134,0.015152967568546056,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
11.0,5.24,1.401475042387718,1.4396377795462825,0.023762050642241257,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
12.0,5.24,1.3845161406988908,1.401120193247251,0.03146918450519735,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
13.0,5.24,1.3136727645551436,1.2964142818719129,0.08562923340888773,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
14.0,5.24,1.3147272706282795,1.2114249238380617,0.20910457703572444,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
15.0,5.24,1.3456572879965265,1.1678159689180883,0.3624083330428272,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
16.0,5.24,1.3477550688150228,1.1566735160529054,0.49928443215678914,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011
17.0,5.24,1.3491370608652669,1.1607431756067248,0.519887042685322,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
18.0,5.24,1.350587481781885,1.1613522963374312,0.5412824457764095,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
19.0,5.24,1.3526605190518646,1.1625382856743671,0.5675794061557612,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
20.0,5.24,1.3661786115936614,1.1736771173454503,0.6996369195163257,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
21.0,5.24,1.3610261434949245,1.1864410095268376,0.795580641065602,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
22.0,5.24,1.3513088653629688,1.19213039640145,0.8297479464577364,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
23.0,5.24,1.3445951126998226,1.195240109643097,0.8481553849727541,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
24.0,5.24,1.3370645029733952,1.1986764503131182,0.8685145849309219,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
25.0,5.24,1.3267142011000972,1.2031545148693616,0.8952305196885766,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
26.0,5.24,1.3174338614787724,1.2068822196244198,0.9180605473564225,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
27.0,5.24,1.3090347810572505,1.2099518959547704,0.9374542060212486,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
28.0,5.24,1.3003515240939496,1.2128159175261646,0.9562556221933851,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
29.0,5.24,1.2886192061792356,1.2162242341155,0.9798534752347628,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011
