time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,pump1_flow
0.0,2.4999999999999996,0.23627005370408888,0.0,0.0,0.0,0.0,1.0
30.0,2.899677812880229,0.33504309385669756,0.09924983765708506,0.0,0.0,0.0,0.9964899187958981
60.0,2.9991669480711693,0.3832035305720227,0.14741027437241022,0.0,0.0,0.0,0.9964899187958981
90.0,2.999625126632026,0.41443003855956023,0.21474508798853487,0.03610830585726002,0.0,0.0,0.9964899187958981
120.0,2.999831306984411,0.4346957534956328,0.2741922771653708,0.07528977986935063,0.0,0.0,0.9964899187958981
150.0,2.999924088142985,0.4478515336150948,0.3241028758428965,0.11204459842741427,0.0,0.0,0.9964899187958981
180.0,2.999965839664343,0.45634142845556924,0.36403002481780083,0.15592810255075196,0.010060188180384925,0.0,0.9964899187958981
210.0,2.9999846278489537,0.46146969779038804,0.3941968375361345,0.21040291319861162,0.03371115249634457,0.0,0.9964899187958981
240.0,2.999993082532029,0.46509787217384074,0.41669026835161677,0.2624644582539234,0.06007991099629435,0.0,0.9964899187958981
270.0,2.9999968871394125,0.46742655114890064,0.43309652703291507,0.30844778756825747,0.08525112996212122,0.0,0.9964899187958981
300.0,2.9999985992127356,0.4685704145377439,0.44461519915233993,0.3470625482861256,0.1306818843679454,0.014416046553957224,0.9964899187958981
330.0,2.9999993696457308,0.4696560992217577,0.452840031370374,0.37805099887478993,0.17510961678655293,0.07203913396369364,0.9964899187958981
360.0,2.9999997163405787,0.4703522428945091,0.4583094180459137,0.40207612228445944,0.21649569984297737,0.17499905514827763,0.9964899187958981
390.0,2.99999987235326,0.4704430309854203,0.4622451863805829,0.42060749559251476,0.2518662970450856,0.30776547540905,0.9964899187958981
420.0,2.9999999425589667,0.470500953455318,0.46446652781734565,0.4343114975778577,0.28061586655520604,0.44465625446416995,0.9964899187958981
450.0,2.9999999741515353,0.4708925744163739,0.4661631551659181,0.4441679267844995,0.30313974804598903,0.5698997040532686,0.9964899187958981
480.0,2.9999999883681903,0.47114291610558634,0.4674345088486462,0.4512801497059995,0.3200928209081823,0.6756936125119415,0.9964899187958981
510.0,2.9999999947656852,0.47130294574544207,0.4687183348570673,0.4566611423950945,0.3324769560047151,0.7592713270017543,0.9964899187958981
540.0,2.9999999976445584,0.5061269550557476,0.45922108175121445,0.46390614941893377,0.34070622687775853,0.8238128766240671,1.3700651276162137
570.0,2.999999998940051,0.5299085050739519,0.46923539389519686,0.45918256523270085,0.35032882952304045,0.8528332748899721,1.3700651276162137
600.0,2.999999999523023,0.545050433274746,0.48681799100391654,0.4574917274323999,0.3542528328218341,0.9202155537143547,1.3700651276162137
630.0,2.9999999997853597,0.5546542979921641,0.5052689029992866,0.46223979295348433,0.3535161704343153,0.9426128871076775,1.3700651276162137
660.0,2.999999999903412,0.5607230329849348,0.5216065729453698,0.47297443812740203,0.35299115981387025,0.9340882589558812,1.3700651276162137
690.0,2.999999999956535,0.5645550680261795,0.5348834355673313,0.48672994681198983,0.3552814184796394,0.9255401879116846,1.3700651276162137
720.0,2.9999999999804405,0.5669686255044835,0.5451205570859802,0.5012969824369978,0.3608451126392304,0.9322658879357433,1.3700651276162137
750.0,2.9999999999911977,0.5684922281125554,0.5527479220207697,0.5151198626594407,0.36896093853818057,0.9577452701995798,1.3700651276162137
780.0,2.9999999999960387,0.5694506275215657,0.5582875995495149,0.5273263273819678,0.37819468073205365,0.9959435801850165,1.3700651276162137
810.0,2.9999999999982165,0.5698257055346583,0.5618628281543058,0.537473235462588,0.3881109777542014,1.0471158574300632,1.3700651276162137
840.0,2.999999999999197,0.570061355171726,0.564514392073914,0.5454902223513958,0.3972400816860647,1.1012363199166961,1.3700651276162137
870.0,2.9999999999996385,0.5704374240277309,0.5664580146366426,0.5519483472515524,0.4053550817821902,1.15129152554257,1.3700651276162137
900.0,2.9999999999998366,0.5706739271400916,0.5676390480734106,0.5567412365034069,0.4119722945821051,1.193458958069379,1.3700651276162137
930.0,2.9999999999999267,0.5708226598023771,0.5687213870754955,0.5602389395956816,0.4175097312265812,1.2347249628721357,1.3700651276162137
960.0,2.9999999999999667,0.5709161951669216,0.5694735619158899,0.5629372586782528,0.42175791270767826,1.2660818880174112,1.3700651276162137
990.0,2.999999999999985,0.5709750179183334,0.5697638838022193,0.5650448120261592,0.4251996583764398,1.289843066517581,1.3700651276162137
1020.0,2.9999999999999925,0.5710120105157379,0.5699745743926915,0.5665040235990672,0.42755025030905786,1.3063695987831154,1.3700651276162137
1050.0,2.9999999999999964,0.5139206677271178,0.5882641788443527,0.5622997251148484,0.4307424846231485,1.3211099642060782,0.7641933758456718
1080.0,2.9999999999999982,0.47468138593299036,0.5729021675897554,0.5764893883640844,0.42689859990384466,1.351436826735069,0.7641933758456718
1110.0,2.999999999999999,0.450298564397027,0.5444755265148029,0.5833696936659531,0.4300346895765417,1.3038567407270376,0.7641933758456718
1140.0,2.999999999999999,0.43482015289146886,0.515090922125621,0.5777875767193241,0.43742406245956894,1.3244425723785764,0.7641933758456718
1170.0,2.999999999999999,0.4248654450710929,0.4892038281601883,0.5623260037702293,0.442655786112946,1.379387999573415,0.7641933758456718
1200.0,2.999999999999999,0.4184182715627404,0.4681669238363979,0.5419755901712214,0.44213346183246516,1.416976459631006,0.7641933758456718
1230.0,2.999999999999999,0.4142354778724207,0.45181359808210686,0.5201253104095316,0.43581106849214135,1.4192994084581776,0.7641933758456718
