time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow
0.0,2.701644211254237,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0
30.0,2.9999999999999996,0.016155520920640886,0.0037992604366463016,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.06540037028188725
60.0,2.9999999999999996,0.03228946206900657,0.00433906567076134,0.0004224786160505147,0.00011023419446580362,0.0,0.0,0.06540037028188725
90.0,2.9999999999999996,0.047247977981167304,0.006360865693287471,0.0005603909987127565,0.00010059119840257438,0.0,0.0,0.06540037028188725
120.0,2.9999999999999996,0.06068335726621102,0.009769301035633848,0.0008127951382632717,0.00011835063687013588,0.0,0.0,0.06540037028188725
150.0,2.9999999999999996,0.07305593865215355,0.01403407924756225,0.001252426661435581,0.00014032940866250387,0.0,0.0,0.06540037028188725
180.0,2.9999999999999996,0.08380741554426625,0.019196513662929394,0.0019683538385336504,0.00017313376993832605,6.894290008020709e-06,0.0,0.06540037028188725
210.0,2.9999999999999996,0.0934037014443933,0.025039498934866622,0.0029616159602011524,0.00020503562586864917,2.0422107835272835e-06,0.0,0.06540037028188725
240.0,2.9999999999999996,0.10193157903552512,0.03142760916038183,0.00430774095444165,0.00028719867563009415,1.489268262987639e-06,0.0,0.06540037028188725
270.0,2.9999999999999996,0.10946087785405248,0.038164010185781125,0.005981819146885235,0.0004219676274777043,2.2402002584746604e-06,0.0,0.06540037028188725
300.0,2.9999999999999996,0.11607923993947807,0.04518127763444754,0.008050692968048395,0.0006198834472261292,3.4394734648483773e-06,0.0,0.06540037028188725
330.0,2.9999999999999996,0.1218604537948463,0.05239779890667204,0.01057184186523775,0.0008988773829708462,5.317217781130812e-06,0.0,0.06540037028188725
360.0,2.9999999999999996,0.1268786976630559,0.05968337090725632,0.013525923221852148,0.0012829355605060357,8.26251139444806e-06,0.0,0.06540037028188725
390.0,2.9999999999999996,0.13120701347749117,0.06699277213207747,0.01695915870032099,0.001812437924989779,1.3667655915637549e-05,0.0,0.06540037028188725
420.0,2.9999999999999996,0.1349101691010575,0.07420944853891791,0.02079123497834128,0.00250057256287007,2.5750477822173906e-05,0.0,0.06540037028188725
450.0,2.9999999999999996,0.14684968436607992,0.08127980620438288,0.025009356070673137,0.0034391199860916485,5.457516612102026e-05,0.0,0.1720435212054749
480.0,2.9999999999999996,0.16567895677389452,0.08917043749810474,0.029567738090319054,0.004640878322460717,0.00010054573234484875,0.0,0.1720435212054749
510.0,2.9999999999999996,0.18174536022616997,0.09868633093269613,0.034518194492846856,0.005996208981066391,0.00016003271087166516,0.0,0.1720435212054749
540.0,2.9999999999999996,0.19562095481794847,0.10948168486804359,0.040042936353342995,0.007843227859211783,0.0002573656931716082,0.0,0.1720435212054749
570.0,2.9999999999999996,0.20739284859960774,0.12122704903085321,0.046270504653906246,0.010448118832911314,0.0004139544927897728,0.0,0.1720435212054749
600.0,2.9999999999999996,0.21723382414923062,0.13354108584298285,0.05327713863940897,0.01421146082499563,0.0006770951761110429,0.0,0.1720435212054749
630.0,2.9999999999999996,0.22535453300190694,0.14605579393367407,0.06106227597761474,0.01966786019428931,0.0010908402708303595,0.0,0.1720435212054749
660.0,2.9999999999999996,0.23196732397750855,0.1584657018215417,0.06958469627579027,0.024419314181609055,0.0016662571852667824,0.0,0.1720435212054749
690.0,2.9999999999999996,0.23726905440313892,0.17051730932805417,0.07881163502965598,0.029258986787790934,0.0024199280509597547,0.0,0.1720435212054749
720.0,2.9999999999999996,0.24144739722988426,0.18200035078813584,0.08860892565001809,0.034796284354036734,0.003480718627772864,0.0,0.1720435212054749
750.0,2.9999999999999996,0.24467030655271263,0.19275913417624047,0.09885536921886061,0.04123163749337697,0.004926409298835669,0.0,0.1720435212054749
780.0,2.9999999999999996,0.24708831629694206,0.2026824590109178,0.1093969036870028,0.04827414863767679,0.0068346709583781765,0.0,0.1720435212054749
810.0,2.9999999999999996,0.24883823940233674,0.21169375252303066,0.12008421422401615,0.056166502322758785,0.009298646920471929,0.0,0.1720435212054749
840.0,2.9999999999999996,0.2529460391377278,0.2197538526279828,0.13076240696128158,0.06485191624106051,0.012417266355338887,0.0,0.21077056881917844
870.0,2.9999999999999996,0.25917208839176986,0.227206441501999,0.14130043165296433,0.07415056660676829,0.016258662184702073,0.0,0.21077056881917844
900.0,2.9999999999999996,0.2643524854411448,0.23438230325029782,0.1516114275989766,0.08393770342358398,0.020844181712716226,0.0,0.21077056881917844
930.0,2.9999999999999996,0.26857417847369414,0.24123108292222792,0.1616581622360518,0.09406731158497962,0.026185289168154918,0.0,0.21077056881917844
960.0,2.9999999999999996,0.27193417289778377,0.24768754954123506,0.1714188083350902,0.10447240211723881,0.032285137397331805,0.0,0.21077056881917844
990.0,2.9999999999999996,0.274559777462508,0.2536670473408686,0.18086888370460566,0.11500714739411395,0.03910238931474636,0.0,0.21077056881917844
1020.0,2.9999999999999996,0.2765742016299515,0.25910374419854554,0.18997789765497033,0.12561034333065496,0.046571268215048395,0.0,0.21077056881917844
1050.0,2.9999999999999996,0.27808732205830905,0.2639580908710835,0.19870971532858606,0.1362100759849609,0.05461354190265543,0.0,0.21077056881917844
1080.0,2.9999999999999996,0.2792001689850154,0.26822101510070323,0.20702397876258524,0.14671018255154938,0.06313734888038855,0.0,0.21077056881917844
1110.0,2.9999999999999996,0.27999493381435475,0.2718964658632868,0.2148813122517999,0.15701222408001705,0.072035104880405,0.0,0.21077056881917844
