time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time
0.0,3.1346868546219433,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,11.0
1.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,21.0
2.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,31.0
3.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,41.0
4.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,51.0
5.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,61.0
6.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,71.0
7.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,29.9432,81.0
8.0,5.24,0.0,0.0,0.0,0.0,2.832e-06,1.1000002350887248,0.0,0.0,29.9432,91.0
9.0,5.24,0.0,0.0,0.0,0.0,1.3479828706666492e-06,1.1000010084724916,0.0,0.0,29.9432,101.0
10.0,5.24,0.0,0.0,0.0,0.0,0.0,1.100001073738515,0.0,0.0,29.9432,111.0
11.0,5.24,0.0,0.0,0.0,0.0,0.0,1.1000005853836858,0.0,0.0,29.9432,121.0
12.0,5.24,0.0,0.0,0.0,0.0,7.383864291231125e-07,1.1000006851255273,0.0,0.0,29.9432,131.0
13.0,5.24,0.0,0.0,0.0,0.0,2.190428428906105e-08,1.1000009573604805,0.0,0.0,29.9432,141.0
14.0,5.24,0.0,0.0,0.0,0.0,0.0,1.1000008280926965,0.0,0.0,29.9432,151.0
15.0,5.24,0.0,0.0,0.0,0.0,2.832e-06,1.1000009663261399,0.0,0.0,29.9432,161.0
16.0,5.24,0.0,0.0,0.0,0.0,2.675421672416064e-07,1.1000015811869484,0.0,0.0,29.9432,171.0
17.0,5.24,0.0,0.0,0.0,0.0,0.0,1.1000012654289772,0.0,0.0,29.9432,181.0
18.0,5.24,0.0,0.0,0.0,0.0,2.832e-06,1.1000011750959913,0.0,0.0,29.9432,191.0
19.0,5.24,0.0,0.0,0.0,0.0,3.320750148400025e-07,1.1000018743436357,0.0,0.0,29.9432,201.0
20.0,5.24,0.0,0.0,0.0,0.0,0.0,1.1000015031732908,0.0,0.0,29.9432,211.0
21.0,5.24,0.0,0.0,0.0,0.0,2.832e-06,1.1000013484351083,0.0,0.0,29.9432,221.0
22.0,5.24,0.0,0.0,0.0,0.0,1.3763278544203234e-07,1.1000020315418106,0.0,0.0,29.9432,231.0
23.0,5.24,0.0,0.0,0.0,0.0,0.0,1.1000015940779726,0.0,0.0,29.9432,241.0
24.0,5.24,0.0,0.0,0.0,0.0,2.832e-06,1.1000014750364755,0.0,0.0,29.9432,251.0
25.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999997958301992,0.0,0.0,29.9432,261.0
26.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,271.0
27.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,281.0
28.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,291.0
29.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,301.0
30.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,311.0
31.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,321.0
32.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,331.0
33.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,341.0
34.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,351.0
35.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,361.0
36.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,371.0
37.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,381.0
38.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,391.0
39.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,401.0
40.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,411.0
41.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,421.0
42.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,431.0
43.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,441.0
44.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,451.0
45.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,461.0
46.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,471.0
47.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,481.0
48.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,491.0
49.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,501.0
50.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,511.0
51.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,521.0
52.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,531.0
53.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,541.0
54.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,551.0
55.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,561.0
56.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,571.0
57.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,581.0
58.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,591.0
59.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,601.0
60.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,611.0
61.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,621.0
62.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,631.0
63.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,641.0
64.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,651.0
65.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,661.0
66.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,671.0
67.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,681.0
68.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,691.0
69.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,701.0
70.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,711.0
71.0,5.24,0.0,0.0,0.0,0.0,0.0,1.0999950940570662,0.0,0.0,29.9432,721.0
72.0,5.24,0.0006100654387972659,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,731.0
73.0,5.24,0.0009585657125105366,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,735.0
74.0,5.24,0.0010639038390396784,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,736.0
75.0,5.24,0.001227516791111839,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,737.0
76.0,5.24,0.0013766113008903836,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,738.0
77.0,5.24,0.001689696875492117,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,740.0
78.0,5.24,0.0020379253865673327,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,741.0
79.0,5.24,0.0025121421945389077,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,743.0
80.0,5.24,0.0031878923272819094,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,745.0
81.0,5.24,0.0040649299050724225,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,747.0
82.0,5.24,0.005149347373929446,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,748.0
83.0,5.24,0.006489309761626428,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,750.0
84.0,5.24,0.008170347521614777,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,752.0
85.0,5.24,0.010224371038982594,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,754.0
86.0,5.24,0.012646413451778667,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,756.0
87.0,5.24,0.01546012617767381,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,758.0
88.0,5.24,0.018734239649500016,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,760.0
89.0,5.24,0.02250833956937358,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,761.0
90.0,5.24,0.026808366421078415,0.0,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,763.0
91.0,5.24,0.031710164978417735,1.1250902808324519e-08,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,765.0
92.0,5.24,0.03732948387668603,2.9870012137424214e-07,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,767.0
93.0,5.24,0.04375562969055976,1.0172854512964885e-06,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,769.0
94.0,5.24,0.05102953385172138,2.182782629428082e-06,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,771.0
95.0,5.24,0.05922368670104833,3.7937193912827556e-06,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,773.0
96.0,5.24,0.06844811720040476,5.855272230068098e-06,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,775.0
97.0,5.24,0.07884060397351203,8.367378263669847e-06,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,777.0
98.0,5.24,0.09043394684502008,1.1307111973095369e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,779.0
99.0,5.24,0.10316928790605809,1.4667449556670877e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,780.0
100.0,5.24,0.11697050794272887,1.8448866940670247e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,782.0
101.0,5.24,0.1317226226643558,2.265348293980629e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,784.0
102.0,5.24,0.14733064585796174,2.7286903140430212e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,786.0
103.0,5.24,0.16367684515796682,3.236266970060104e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,788.0
104.0,5.24,0.18063901247406222,3.7929072956192197e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,790.0
105.0,5.24,0.1980598981779556,4.403989872426941e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,792.0
106.0,5.24,0.215914910469638,5.068400237516733e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,794.0
107.0,5.24,0.23419020041310556,5.796397868956153e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,795.0
108.0,5.24,0.25283468081105287,6.594621562550451e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,797.0
109.0,5.24,0.2717590245826853,7.468931863511316e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,799.0
110.0,5.24,0.29082203268687784,8.405500798405877e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,801.0
111.0,5.24,0.30989329160627044,9.365939153077082e-05,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,803.0
112.0,5.24,0.32891775304546605,0.0001036739126830747,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,805.0
113.0,5.24,0.34784336624248735,0.0001143437371988224,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,806.0
114.0,5.24,0.36660602439617596,0.00012589980278588517,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,808.0
115.0,5.24,0.3851173213263107,0.00013853903136255648,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,810.0
116.0,5.24,0.4032665885049758,0.00015243098098526248,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,812.0
117.0,5.24,0.42097661370690775,0.00016776579591600062,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,814.0
118.0,5.24,0.43819357682503834,0.0001847767581494532,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,815.0
119.0,5.24,0.4548883906983326,0.00020377716153849166,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,817.0
120.0,5.24,0.4710199143153426,0.00022516720979890331,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,819.0
121.0,5.24,0.48650795626021753,0.0002494327628572344,0.0,0.0,0.0,1.0999950940570662,1.0,0.0,29.9432,821.0
