time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area
0.0,5.23603499343289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
1.0,5.239197086170161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
2.0,5.239638688776572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
3.0,5.239837409949457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
4.0,5.239926834477256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
5.0,5.239967075514765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
6.0,5.239985183981643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
7.0,5.239993332791739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
8.0,5.239996999756283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
9.0,5.239998649890326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
10.0,5.239999392450646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
11.0,5.2399997266027905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
12.0,5.239999876971255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
13.0,5.239999944637065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
14.0,5.239999975086678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
15.0,5.239999988789005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
16.0,5.239999994955052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
17.0,5.2399999977297735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
18.0,5.239999998978397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
19.0,5.239999999540278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
20.0,5.239999999793125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
21.0,5.239999999906906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
22.0,5.2399999999581075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
23.0,5.239999999981149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
24.0,5.239999999991517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
25.0,5.239999999996182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011
26.0,5.239999999998282,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
27.0,5.239999999999227,0.01555338752785826,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
28.0,5.239999999999651,0.07846386708889518,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
29.0,5.239999999999843,0.157479937377464,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
30.0,5.239999999999928,0.19715455647017777,0.03157181717276023,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
31.0,5.239999999999967,0.21414852144755908,0.06681175642506698,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
32.0,5.239999999999985,0.2191410984615002,0.11494160146414008,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
33.0,5.239999999999993,0.2208350254270578,0.15169657521338586,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
34.0,5.239999999999997,0.22210493578630314,0.17386555488203706,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
35.0,5.2399999999999975,0.22265070200480458,0.18673528192417052,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
36.0,5.239999999999999,0.22280956614883604,0.19326048042364657,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
37.0,5.239999999999999,0.22287689565002117,0.1960714965437381,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
38.0,5.239999999999999,0.22288680816765444,0.19747154336455872,0.024560204034653046,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
39.0,5.239999999999999,0.22289577467477836,0.19869059799358987,0.06741072492419083,0.0,0.0,0.0,0.14285714285714285,0.0,10.011
40.0,5.239999999999999,0.22208202861857315,0.1992608090938339,0.12001405181799155,0.0,0.0,0.0,0.0,0.0,10.011
41.0,5.239999999999999,0.20937320494915096,0.19934401236774027,0.15269725080665664,0.0,0.0,0.0,0.0,0.0,10.011
42.0,5.239999999999999,0.17081954719525383,0.1977559704053922,0.16899042986702306,0.0,0.0,0.0,0.0,0.0,10.011
43.0,5.239999999999999,0.13110464579754738,0.19161746660607745,0.17739168064290586,0.0,0.0,0.0,0.0,0.0,10.011
44.0,5.239999999999999,0.10162989008411158,0.17554839145982457,0.1815028071909887,0.03439068322768569,0.0,0.0,0.0,0.0,10.011
45.0,5.239999999999999,0.08113888579889983,0.15452058254494022,0.18258046933027383,0.08826395881811948,0.001180273214239475,0.0,0.0,0.001180273214239475,10.011
46.0,5.239999999999999,0.06647135174620936,0.13444912575915272,0.18446040267131122,0.14351579823436492,0.026885254791028948,0.0,0.0,0.026885254791028948,10.011
47.0,5.239999999999999,0.05563630834266844,0.11616554162878583,0.1840822263566509,0.17448333630626625,0.0869967857345988,0.13117506031834086,0.0,0.04285714285714285,10.011
48.0,5.239999999999999,0.04743769280391573,0.10173770010911075,0.18095271212707167,0.18404114853244644,0.13014101393082694,0.5254466593501861,0.0,0.04285714285714285,10.011
49.0,5.239999999999999,0.04104609902533177,0.08953243616155052,0.1731291440658604,0.1881220301024314,0.13899158913343096,1.074835724734097,0.0,0.04285714285714285,10.011
50.0,5.239999999999999,0.03595512573098536,0.07930737721263265,0.16268453228828128,0.19022790719491112,0.14266493773331718,1.6619530019675668,0.0,0.04285714285714285,10.011
51.0,5.239999999999999,0.03182503902153296,0.07073295922121257,0.1489885428296128,0.18910866857576444,0.14709066536908552,2.2733634395826545,0.0,0.04285714285714285,10.011
52.0,5.239999999999999,0.028421643236166725,0.06350611846156823,0.13727686756199767,0.16929195635423536,0.13864620798019064,2.872792034786403,0.0,0.04285714285714285,10.011
53.0,5.239999999999999,0.025591331590821345,0.057371579401880896,0.12779221577939817,0.16371469045266285,0.11469059913955089,3.375270350181595,0.0,0.04285714285714285,10.011
54.0,5.239999999999999,0.023194827707959154,0.05213032504036868,0.11935865608137966,0.1661027027557593,0.10522733960980428,3.777607595944254,0.0,0.04285714285714285,10.011
55.0,5.239999999999999,0.02114570257517297,0.04762704829283901,0.11085236306082652,0.13742640340409257,0.10583620533565419,4.153287076468036,0.0,0.04285714285714285,10.011
56.0,5.239999999999999,0.019378160734963956,0.04372214507952963,0.10286930423213222,0.12566653344853493,0.07676453297482419,4.443172557736639,0.0,0.04285714285714285,10.011
57.0,5.239999999999999,0.017841413224498604,0.04031194179430613,0.09556849499974436,0.13508307968267705,0.05856849474858417,4.591708760625011,0.0,0.04285714285714285,10.011
58.0,5.239999999999999,0.016495748231830188,0.037314493159094346,0.08895524249199449,0.11896182198786591,0.06870918580233004,4.716461086075404,0.0,0.04285714285714285,10.011
59.0,5.239999999999999,0.015309750728509805,0.03467055072602743,0.08298263271262499,0.10745771691559419,0.05859361609242333,4.841090571886444,0.0,0.04285714285714285,10.011
60.0,5.239999999999999,0.014258293058995704,0.032318385090003114,0.07758934665543313,0.11352621012637742,0.042508479590844465,4.887376671606183,0.0,0.04285714285714285,10.011
61.0,5.239999999999999,0.013321078457466579,0.03021577483816174,0.07271384908350129,0.10079179761922652,0.046824134394299013,4.89802252731829,0.0,0.04285714285714285,10.011
62.0,5.239999999999999,0.012481557669442008,0.028327865648848996,0.06829816247624142,0.09002685903919018,0.04240303351520893,4.908560418768968,0.0,0.04285714285714285,10.011
